20	0.9221916198730469,0.14377550780773163,0.08489383012056351	9,8,7
20	0.9221916198730469,0.14377550780773163,0.08489383012056351	9,8,7
20	0.9221916198730469,0.14377550780773163,0.08489383012056351	9,8,7
20	0.910036563873291,0.1401868313550949,0.10257307440042496	9,8,7
20	0.8287428617477417,0.2527182698249817,0.16678592562675476	9,7,8
20	0.8287428617477417,0.2527182698249817,0.16678592562675476	9,7,8
20	0.6998249888420105,0.4998166561126709,0.2034442126750946	9,12,8
20	0.6998249888420105,0.4998166561126709,0.2034442126750946	9,12,8
20	0.9221916198730469,0.14377550780773163,0.08489383012056351	9,8,7
10	0.8123670220375061,0.43000325560569763,0.05013523995876312	9,7,0
